section,title,description
3,BNS Section 3 - General Explanations.,"B.N.S 3, General Explanations."
4,BNS Section 4 - Punishments.,"B.N.S 4, Punishments."
6,BNS Section 6 - Fractions of terms of punishment.,"B.N.S 6, Fractions of terms of punishment."
9,BNS Section 9 - Limit of punishment of offence made up of several offences.,"B.N.S 9, Limit of punishment of offence made up of several offences."
1,"BNS Section 1 - Short title, commencement and application.","B.N.S 1, Short title, commencement and application."
10,"BNS Section 10 - Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which.","B.N.S 10, Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which."
8,"BNS Section 8 - Amount of fine, liability in default of payment of fine, etc.","B.N.S 8, Amount of fine, liability in default of payment of fine, etc."
5,BNS Section 5 - Commutation of sentence.,"B.N.S 5, Commutation of sentence."
7,BNS Section 7 - Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple.,"B.N.S 7, Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple."
2,BNS Section 2 - Definitions.,"B.N.S 2, Definitions."
11,BNS Section 11 - Solitary confinement.,"B.N.S 11, Solitary confinement."
12,BNS Section 12 - Limit of solitary confinement.,"B.N.S 12, Limit of solitary confinement."
14,"BNS Section 14 - Act done by a person bound, or by mistake of fact believing himself bound, by law.","B.N.S 14, Act done by a person bound, or by mistake of fact believing himself bound, by law."
13,BNS Section 13 - Enhanced punishment for certain offences after previous conviction.,"B.N.S 13, Enhanced punishment for certain offences after previous conviction."
15,BNS Section 15 - Act of Judge when acting judicially.,"B.N.S 15, Act of Judge when acting judicially."
18,BNS Section 18 - Accident in doing a lawful act.,"B.N.S 18, Accident in doing a lawful act."
17,"BNS Section 17 - Act done by a person justified, or by mistake of fact believing himself, justified, by law.","B.N.S 17, Act done by a person justified, or by mistake of fact believing himself, justified, by law."
19,"BNS Section 19 - Act likely to cause harm, but done without criminal intent, and to prevent other harm.","B.N.S 19, Act likely to cause harm, but done without criminal intent, and to prevent other harm."
16,BNS Section 16 - Act done pursuant to the judgment or order of Court.,"B.N.S 16, Act done pursuant to the judgment or order of Court."
20,BNS Section 20 - Act of a child under seven years of age.,"B.N.S 20, Act of a child under seven years of age."
21,BNS Section 21 - Act of a child above seven and under twelve of immature understanding.,"B.N.S 21, Act of a child above seven and under twelve of immature understanding."
23,BNS Section 23 - Act of a person incapable of judgment by reason of intoxication caused against his will.,"B.N.S 23, Act of a person incapable of judgment by reason of intoxication caused against his will."
22,BNS Section 22 - Act of a person of unsound mind.,"B.N.S 22, Act of a person of unsound mind."
25,"BNS Section 25 - Act not intended and not known to be likely to cause death or grievous hurt, done by consent.","B.N.S 25, Act not intended and not known to be likely to cause death or grievous hurt, done by consent."
24,BNS Section 24 - Offence requiring a particular intent or knowledge committed by one who is intoxicated.,"B.N.S 24, Offence requiring a particular intent or knowledge committed by one who is intoxicated."
29,BNS Section 29 - Exclusion of acts which are offences independently of harm caused.,"B.N.S 29, Exclusion of acts which are offences independently of harm caused."
27,"BNS Section 27 - Act done in good faith for benefit of child or person with unsound mind, by or by consent of guardian.","B.N.S 27, Act done in good faith for benefit of child or person with unsound mind, by or by consent of guardian."
28,BNS Section 28 - Consent known to be given under fear or misconception.,"B.N.S 28, Consent known to be given under fear or misconception."
26,"BNS Section 26 - Act not intended to cause death, done by consent in good faith for person’s benefit.","B.N.S 26, Act not intended to cause death, done by consent in good faith for person’s benefit."
30,BNS Section 30 - Act done in good faith for benefit of a person without consent.,"B.N.S 30, Act done in good faith for benefit of a person without consent."
33,BNS Section 33 - Act causing slight harm.,"B.N.S 33, Act causing slight harm."
32,BNS Section 32 - Act to which a person compelled by threats.,"B.N.S 32, Act to which a person compelled by threats."
31,BNS Section 31 - Communication made in good faith.,"B.N.S 31, Communication made in good faith."
34,BNS Section 34 - Things done in private defence.,"B.N.S 34, Things done in private defence."
38,BNS Section 38 - When the right of private defence of the body extends to causing death.,"B.N.S 38, When the right of private defence of the body extends to causing death."
35,BNS Section 35 - Right of private defence of the body and of property.,"B.N.S 35, Right of private defence of the body and of property."
36,"BNS Section 36 - Right of private defence against the act of a person with unsound mind, etc.","B.N.S 36, Right of private defence against the act of a person with unsound mind, etc."
37,BNS Section 37 - Acts against which there is no right of private defence.,"B.N.S 37, Acts against which there is no right of private defence."
39,BNS Section 39 - When such right extends to causing any harm other than death.,"B.N.S 39, When such right extends to causing any harm other than death."
40,BNS Section 40 - Commencement and continuance of the right of private defence of the body.,"B.N.S 40, Commencement and continuance of the right of private defence of the body."
41,BNS Section 41 - When the right of private defence of property extends to causing death.,"B.N.S 41, When the right of private defence of property extends to causing death."
42,BNS Section 42 - When such right extends to causing any harm other than death.,"B.N.S 42, When such right extends to causing any harm other than death."
43,BNS Section 43 - Commencement and continuance of the right of private defence of property.,"B.N.S 43, Commencement and continuance of the right of private defence of property."
44,BNS Section 44 - Right of private defence against deadly assault when there is risk of harm to innocent person.,"B.N.S 44, Right of private defence against deadly assault when there is risk of harm to innocent person."
46,BNS Section 46 - Abettor.,"B.N.S 46, Abettor."
47,BNS Section 47 - Abetment in India of offences outside India.,"B.N.S 47, Abetment in India of offences outside India."
45,BNS Section 45 - Abetment of a thing.,"B.N.S 45, Abetment of a thing."
48,BNS Section 48 - Abetment outside India for offence in India.,"B.N.S 48, Abetment outside India for offence in India."
50,BNS Section 50 - Punishment of abetment if person abetted does act with different intention from that of abettor.,"B.N.S 50, Punishment of abetment if person abetted does act with different intention from that of abettor."
49,BNS Section 49 - Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment.,"B.N.S 49, Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment."
51,BNS Section 51 - Liability of abettor when one act abetted and different act done.,"B.N.S 51, Liability of abettor when one act abetted and different act done."
52,BNS Section 52 - Abettor when liable to cumulative punishment for act abetted and for act done.,"B.N.S 52, Abettor when liable to cumulative punishment for act abetted and for act done."
53,BNS Section 53 - Liability of abettor for an effect caused by the act abetted different from that intended by the abettor.,"B.N.S 53, Liability of abettor for an effect caused by the act abetted different from that intended by the abettor."
54,BNS Section 54 - Abettor present when offence is committed.,"B.N.S 54, Abettor present when offence is committed."
55,BNS Section 55 - Abetment of offence punishable with death or imprisonment for life.,"B.N.S 55, Abetment of offence punishable with death or imprisonment for life."
57,BNS Section 57 - Abetting commission of offence by the public or by more than ten persons.,"B.N.S 57, Abetting commission of offence by the public or by more than ten persons."
56,BNS Section 56 - Abetment of offence punishable with imprisonment.,"B.N.S 56, Abetment of offence punishable with imprisonment."
60,BNS Section 60 - Concealing design to commit offence punishable with imprisonment.,"B.N.S 60, Concealing design to commit offence punishable with imprisonment."
59,BNS Section 59 - Public servant concealing design to commit offence which it is his duty to prevent.,"B.N.S 59, Public servant concealing design to commit offence which it is his duty to prevent."
58,BNS Section 58 - Concealing design to commit offence punishable with death or imprisonment for life.,"B.N.S 58, Concealing design to commit offence punishable with death or imprisonment for life."
61,BNS Section 61 - Criminal conspiracy.,"B.N.S 61, Criminal conspiracy."
63,BNS Section 63 - Rape.,"B.N.S 63, Rape."
62,BNS Section 62 - Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.,"B.N.S 62, Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment."
64,BNS Section 64 - Punishment for rape.,"B.N.S 64, Punishment for rape."
65,BNS Section 65 - Punishment for rape in certain cases.,"B.N.S 65, Punishment for rape in certain cases."
67,BNS Section 67 - Sexual intercourse by husband upon his wife during separation.,"B.N.S 67, Sexual intercourse by husband upon his wife during separation."
66,BNS Section 66 - Punishment for causing death or resulting in persistent vegetative state of victim.,"B.N.S 66, Punishment for causing death or resulting in persistent vegetative state of victim."
69,BNS Section 69 - Sexual intercourse by employing deceitful means etc.,"B.N.S 69, Sexual intercourse by employing deceitful means etc."
68,BNS Section 68 - Sexual intercourse by a person in authority.,"B.N.S 68, Sexual intercourse by a person in authority."
70,BNS Section 70 - Gang rape.,"B.N.S 70, Gang rape."
71,BNS Section 71 - Punishment for repeat offenders.,"B.N.S 71, Punishment for repeat offenders."
73,BNS Section 73 - Printing or publishing any matter relating to Court proceedings without permission.,"B.N.S 73, Printing or publishing any matter relating to Court proceedings without permission."
72,"BNS Section 72 - Disclosure of identity of the victim of certain offences, etc.","B.N.S 72, Disclosure of identity of the victim of certain offences, etc."
74,BNS Section 74 - Assault or criminal force to woman with intent to outrage her modesty.,"B.N.S 74, Assault or criminal force to woman with intent to outrage her modesty."
75,BNS Section 75 - Sexual harassment.,"B.N.S 75, Sexual harassment."
77,BNS Section 77 - Voyeurism.,"B.N.S 77, Voyeurism."
76,BNS Section 76 - Assault or use of criminal force to woman with intent to disrobe.,"B.N.S 76, Assault or use of criminal force to woman with intent to disrobe."
79,"BNS Section 79 - Word, gesture or act intended to insult the modesty of a woman.","B.N.S 79, Word, gesture or act intended to insult the modesty of a woman."
78,BNS Section 78 - Stalking.,"B.N.S 78, Stalking."
80,BNS Section 80 - Dowry death.,"B.N.S 80, Dowry death."
81,BNS Section 81 - Cohabitation caused by a man deceitfully inducing a belief of lawful marriage.,"B.N.S 81, Cohabitation caused by a man deceitfully inducing a belief of lawful marriage."
83,BNS Section 83 - Marriage ceremony fraudulently gone through without lawful marriage.,"B.N.S 83, Marriage ceremony fraudulently gone through without lawful marriage."
82,BNS Section 82 - Marrying again during lifetime of husband or wife.,"B.N.S 82, Marrying again during lifetime of husband or wife."
84,BNS Section 84 - Enticing or taking away or detaining with criminal intent a married woman.,"B.N.S 84, Enticing or taking away or detaining with criminal intent a married woman."
85,BNS Section 85 - Husband or relative of husband of a woman subjecting her to cruelty.,"B.N.S 85, Husband or relative of husband of a woman subjecting her to cruelty."
86,BNS Section 86 - Cruelty defined.,"B.N.S 86, Cruelty defined."
87,"BNS Section 87 - Kidnapping, abducting or inducing woman to compel her marriage, etc.","B.N.S 87, Kidnapping, abducting or inducing woman to compel her marriage, etc."
88,BNS Section 88 - Causing miscarriage.,"B.N.S 88, Causing miscarriage."
89,BNS Section 89 - Causing miscarriage without woman’s consent.,"B.N.S 89, Causing miscarriage without woman’s consent."
90,BNS Section 90 - Death caused by act done with intent to cause miscarriage.,"B.N.S 90, Death caused by act done with intent to cause miscarriage."
91,BNS Section 91 - Act done with intent to prevent child being born alive or to cause it to die after birth.,"B.N.S 91, Act done with intent to prevent child being born alive or to cause it to die after birth."
93,"BNS Section 93 - Exposure and abandonment of child under twelve years, by parent or person having care of it.","B.N.S 93, Exposure and abandonment of child under twelve years, by parent or person having care of it."
92,BNS Section 92 - Causing death of quick unborn child by act amounting to culpable homicide.,"B.N.S 92, Causing death of quick unborn child by act amounting to culpable homicide."
94,BNS Section 94 - Concealment of birth by secret disposal of dead body.,"B.N.S 94, Concealment of birth by secret disposal of dead body."
95,"BNS Section 95 - Hiring, employing or engaging a child to commit an offence.","B.N.S 95, Hiring, employing or engaging a child to commit an offence."
96,BNS Section 96 - Procuration of child.,"B.N.S 96, Procuration of child."
97,BNS Section 97 - Kidnapping or abducting child under ten years with intent to steal from its person.,"B.N.S 97, Kidnapping or abducting child under ten years with intent to steal from its person."
98,"BNS Section 98 - Selling child for purposes of prostitution, etc.","B.N.S 98, Selling child for purposes of prostitution, etc."
99,"BNS Section 99 - Buying child for purposes of prostitution, etc.","B.N.S 99, Buying child for purposes of prostitution, etc."
100,BNS Section 100 - Culpable homicide.,"B.N.S 100, Culpable homicide."
101,BNS Section 101 - Murder.,"B.N.S 101, Murder."
102,BNS Section 102 - Culpable homicide by causing death of person other than person whose death was intended.,"B.N.S 102, Culpable homicide by causing death of person other than person whose death was intended."
103,BNS Section 103 - Punishment for murder.,"B.N.S 103, Punishment for murder."
104,BNS Section 104 - Punishment for murder by life-convict.,"B.N.S 104, Punishment for murder by life-convict."
105,BNS Section 105 - Punishment for culpable homicide not amounting to murder.,"B.N.S 105, Punishment for culpable homicide not amounting to murder."
107,BNS Section 107 - Abetment of suicide of child or person of unsound mind.,"B.N.S 107, Abetment of suicide of child or person of unsound mind."
108,BNS Section 108 - Abetment of suicide.,"B.N.S 108, Abetment of suicide."
109,BNS Section 109 - Attempt to murder.,"B.N.S 109, Attempt to murder."
106,BNS Section 106 - Causing death by negligence.,"B.N.S 106, Causing death by negligence."
110,BNS Section 110 - Attempt to commit culpable homicide.,"B.N.S 110, Attempt to commit culpable homicide."
111,BNS Section 111 - Organised crime.,"B.N.S 111, Organised crime."
112,BNS Section 112 - Petty organised crime.,"B.N.S 112, Petty organised crime."
113,BNS Section 113 - Terrorist act.,"B.N.S 113, Terrorist act."
115,BNS Section 115 - Voluntarily causing hurt.,"B.N.S 115, Voluntarily causing hurt."
114,BNS Section 114 - Hurt.,"B.N.S 114, Hurt."
116,BNS Section 116 - Grievous hurt.,"B.N.S 116, Grievous hurt."
118,BNS Section 118 - Voluntarily causing hurt or grievous hurt by dangerous weapons or means.,"B.N.S 118, Voluntarily causing hurt or grievous hurt by dangerous weapons or means."
117,BNS Section 117 - Voluntarily causing grievous hurt.,"B.N.S 117, Voluntarily causing grievous hurt."
119,"BNS Section 119 - Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal to an act.","B.N.S 119, Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal to an act."
120,"BNS Section 120 - Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property.","B.N.S 120, Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property."
121,BNS Section 121 - Voluntarily causing hurt or grievous hurt to deter public servant from his duty.,"B.N.S 121, Voluntarily causing hurt or grievous hurt to deter public servant from his duty."
122,BNS Section 122 - Voluntarily causing hurt or grievous hurt on provocation.,"B.N.S 122, Voluntarily causing hurt or grievous hurt on provocation."
123,"BNS Section 123 - Causing hurt by means of poison, etc., with intent to commit an offence.","B.N.S 123, Causing hurt by means of poison, etc., with intent to commit an offence."
125,BNS Section 125 - Act endangering life or personal safety of others.,"B.N.S 125, Act endangering life or personal safety of others."
126,BNS Section 126 - Wrongful restraint.,"B.N.S 126, Wrongful restraint."
124,"BNS Section 124 - Voluntarily causing grievous hurt by use of acid, etc.","B.N.S 124, Voluntarily causing grievous hurt by use of acid, etc."
129,BNS Section 129 - Criminal force.,"B.N.S 129, Criminal force."
128,BNS Section 128 - Force.,"B.N.S 128, Force."
127,BNS Section 127 - Wrongful confinement.,"B.N.S 127, Wrongful confinement."
130,BNS Section 130 - Assault.,"B.N.S 130, Assault."
131,BNS Section 131 - Punishment for assault or criminal force otherwise than on grave provocation.,"B.N.S 131, Punishment for assault or criminal force otherwise than on grave provocation."
132,BNS Section 132 - Assault or criminal force to deter public servant from discharge of his duty.,"B.N.S 132, Assault or criminal force to deter public servant from discharge of his duty."
134,BNS Section 134 - Assault or criminal force in attempt to commit theft of property carried by a person.,"B.N.S 134, Assault or criminal force in attempt to commit theft of property carried by a person."
135,BNS Section 135 - Assault or criminal force in attempt wrongfully to confine a person.,"B.N.S 135, Assault or criminal force in attempt wrongfully to confine a person."
136,BNS Section 136 - Assault or criminal force on grave provocation.,"B.N.S 136, Assault or criminal force on grave provocation."
133,"BNS Section 133 - Assault or criminal force with intent to dishonor person, otherwise than on grave provocation.","B.N.S 133, Assault or criminal force with intent to dishonor person, otherwise than on grave provocation."
137,BNS Section 137 - Kidnapping.,"B.N.S 137, Kidnapping."
139,BNS Section 139 - Kidnapping or maiming a child for purposes of begging.,"B.N.S 139, Kidnapping or maiming a child for purposes of begging."
140,BNS Section 140 - Kidnapping or abducting in order to murder or for ransom etc.,"B.N.S 140, Kidnapping or abducting in order to murder or for ransom etc."
138,BNS Section 138 - Abduction.,"B.N.S 138, Abduction."
141,BNS Section 141 - Importation of girl or boy from foreign country.,"B.N.S 141, Importation of girl or boy from foreign country."
142,"BNS Section 142 - Wrongfully concealing or keeping in confinement, kidnapped or abducted person.","B.N.S 142, Wrongfully concealing or keeping in confinement, kidnapped or abducted person."
145,BNS Section 145 - Habitual dealing in slaves.,"B.N.S 145, Habitual dealing in slaves."
143,BNS Section 143 - Trafficking of person.,"B.N.S 143, Trafficking of person."
144,BNS Section 144 - Exploitation of a trafficked person.,"B.N.S 144, Exploitation of a trafficked person."
150,BNS Section 150 - Concealing with intent to facilitate design to wage war.,"B.N.S 150, Concealing with intent to facilitate design to wage war."
147,"BNS Section 147 - Waging, or attempting to wage war, or abetting waging of war, against the Government of India.","B.N.S 147, Waging, or attempting to wage war, or abetting waging of war, against the Government of India."
